open_time,open,high,low,close,volume,trades
2020-12-18 00:00:00,22797.15000000,22839.00000000,22797.13000000,22801.94000000,98.66562400,1556
2020-12-18 00:01:00,22802.34000000,22824.59000000,22758.45000000,22759.15000000,90.22778300,1589
2020-12-18 00:02:00,22760.29000000,22809.62000000,22735.59000000,22767.11000000,91.71581200,1582
2020-12-18 00:03:00,22767.11000000,22801.80000000,22759.06000000,22763.06000000,71.61769000,1315
2020-12-18 00:04:00,22763.05000000,22785.31000000,22745.00000000,22755.11000000,40.03539400,1071
2020-12-18 00:05:00,22755.12000000,22795.18000000,22747.11000000,22749.16000000,51.41831700,1063
2020-12-18 00:06:00,22749.69000000,22760.00000000,22722.74000000,22723.26000000,56.14930400,1560
2020-12-18 00:07:00,22723.60000000,22744.00000000,22703.31000000,22711.00000000,58.77361300,1392
2020-12-18 00:08:00,22710.99000000,22746.84000000,22710.99000000,22720.96000000,33.62723500,1129
2020-12-18 00:09:00,22720.26000000,22738.81000000,22701.65000000,22723.12000000,34.08393100,1020
2020-12-18 00:10:00,22723.13000000,22732.00000000,22702.78000000,22702.78000000,40.28775500,757
2020-12-18 00:11:00,22702.79000000,22707.70000000,22675.68000000,22681.07000000,57.63458200,1315
2020-12-18 00:12:00,22680.92000000,22719.86000000,22676.87000000,22696.57000000,38.10386500,1099
2020-12-18 00:13:00,22696.57000000,22729.62000000,22695.13000000,22718.69000000,28.15609600,1096
2020-12-18 00:14:00,22718.69000000,22718.69000000,22677.01000000,22684.33000000,39.59638800,1151
2020-12-18 00:15:00,22684.32000000,22688.27000000,22670.93000000,22684.94000000,38.77796400,1138
2020-12-18 00:16:00,22684.86000000,22725.68000000,22684.20000000,22725.68000000,52.75736600,1420
2020-12-18 00:17:00,22725.67000000,22725.67000000,22710.34000000,22716.01000000,19.20594400,607
2020-12-18 00:18:00,22716.01000000,22716.02000000,22670.34000000,22675.51000000,42.63003600,1068
2020-12-18 00:19:00,22675.50000000,22679.95000000,22635.68000000,22637.87000000,82.99109800,1675
2020-12-18 00:20:00,22637.86000000,22637.86000000,22609.62000000,22611.05000000,51.80431300,1441
2020-12-18 00:21:00,22611.05000000,22624.99000000,22550.00000000,22570.65000000,186.63954100,2685
2020-12-18 00:22:00,22568.43000000,22600.00000000,22552.05000000,22581.53000000,79.74847100,1775
2020-12-18 00:23:00,22583.20000000,22599.87000000,22557.50000000,22566.84000000,67.38546400,1933
2020-12-18 00:24:00,22566.83000000,22599.62000000,22558.76000000,22571.72000000,41.13491100,1239
2020-12-18 00:25:00,22571.72000000,22611.60000000,22558.50000000,22575.00000000,92.58877800,1763
2020-12-18 00:26:00,22575.00000000,22608.29000000,22569.00000000,22587.92000000,65.12283500,1196
2020-12-18 00:27:00,22587.91000000,22615.98000000,22581.52000000,22595.00000000,99.81737500,1554
2020-12-18 00:28:00,22595.00000000,22597.53000000,22556.08000000,22556.09000000,55.37015400,1241
2020-12-18 00:29:00,22556.08000000,22600.00000000,22552.44000000,22597.91000000,56.81580900,1531
2020-12-18 00:30:00,22597.90000000,22597.91000000,22490.00000000,22490.02000000,235.24227300,3166
2020-12-18 00:31:00,22490.03000000,22506.80000000,22470.35000000,22492.97000000,121.63876900,2478
2020-12-18 00:32:00,22492.99000000,22526.80000000,22486.61000000,22508.00000000,73.51226800,1388
2020-12-18 00:33:00,22508.00000000,22544.08000000,22487.41000000,22544.02000000,57.51871400,1375
2020-12-18 00:34:00,22544.07000000,22589.67000000,22544.07000000,22582.06000000,76.29814500,1765
2020-12-18 00:35:00,22582.06000000,22659.62000000,22579.81000000,22651.11000000,80.02338000,2021
2020-12-18 00:36:00,22651.10000000,22686.60000000,22638.68000000,22681.41000000,65.84408700,1575
2020-12-18 00:37:00,22681.40000000,22736.91000000,22675.26000000,22730.77000000,62.82144300,1703
2020-12-18 00:38:00,22732.84000000,22745.00000000,22713.33000000,22728.43000000,59.50271300,1244
2020-12-18 00:39:00,22728.42000000,22732.76000000,22714.60000000,22726.17000000,40.94841900,1151
2020-12-18 00:40:00,22726.17000000,22813.37000000,22721.65000000,22802.37000000,138.48469200,2514
2020-12-18 00:41:00,22797.99000000,22807.71000000,22763.69000000,22803.77000000,59.59109100,1710
2020-12-18 00:42:00,22803.77000000,22827.26000000,22777.50000000,22790.99000000,73.97555500,1471
2020-12-18 00:43:00,22791.00000000,22812.53000000,22777.65000000,22811.53000000,49.42628800,1038
2020-12-18 00:44:00,22814.29000000,22821.26000000,22777.51000000,22791.87000000,43.31259300,1155
2020-12-18 00:45:00,22791.86000000,22815.63000000,22763.16000000,22799.76000000,83.72471900,1492
2020-12-18 00:46:00,22799.75000000,22820.00000000,22772.90000000,22804.70000000,51.89462900,1162
